Airline,Day_of_Journey,month_of_Journey,year_of_Journey,Source,Destination,Route,Dep_hour,Dep_min,Arrival_Time,duration_hour,duration_min,Total_Stops,Additional_Info,Price,
IndiGo,24,3,2019,Banglore,New Delhi,BLR → DEL,22,20,1:10,2,50,non-stop,No info,3897,
Air India,1,5,2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,5,50,1:15,7,25,2 stops,No info,7662,
Jet Airways,9,6,2019,Delhi,Cochin,DEL → LKO → BOM → COK,9,25,4:25,19,,2 stops,No info,13882,
IndiGo,12,5,2019,Kolkata,Banglore,CCU → NAG → BLR,18,5,11:30,5,25,1 stop,No info,6218,
IndiGo,1,3,2019,Banglore,New Delhi,BLR → NAG → DEL,16,50,9:35,4,45,1 stop,No info,13302,
SpiceJet,24,6,2019,Kolkata,Banglore,CCU → BLR,9,0,11:25,2,25,non-stop,No info,3873,
Jet Airways,12,3,2019,Banglore,New Delhi,BLR → BOM → DEL,18,55,10:25,15,30,1 stop,In-flight meal not included,11087,
Jet Airways,1,3,2019,Banglore,New Delhi,BLR → BOM → DEL,8,0,5:05,21,5,1 stop,No info,22270,
Jet Airways,12,3,2019,Banglore,New Delhi,BLR → BOM → DEL,8,55,10:25,25,30,1 stop,In-flight meal not included,11087,
Multiple carriers,27,5,2019,Delhi,Cochin,DEL → BOM → COK,11,25,7:15,7,50,1 stop,No info,8625,
Air India,1,6,2019,Delhi,Cochin,DEL → BLR → COK,9,45,11:00,13,15,1 stop,No info,8907,
IndiGo,18,4,2019,Kolkata,Banglore,CCU → BLR,20,20,10:55,2,35,non-stop,No info,4174,
Air India,24,6,2019,Chennai,Kolkata,MAA → CCU,11,40,1:55,2,15,non-stop,No info,4667,
Jet Airways,9,5,2019,Kolkata,Banglore,CCU → BOM → BLR,21,10,9:20,12,10,1 stop,In-flight meal not included,9663,
IndiGo,24,4,2019,Kolkata,Banglore,CCU → BLR,17,15,7:50,2,35,non-stop,No info,4804,
Air India,3,3,2019,Delhi,Cochin,DEL → AMD → BOM → COK,16,40,7:15,26,35,2 stops,No info,14011,
